id,link,title,date,state,civilian_initiated,deaths,potential_death,false_alarm,description,file_name
317,https://web.archive.org/web/20150417085336/http://mp3.911dispatch.com.s3.amazonaws.com/elyria_stabbing_911.mp3,Fatal stabbing,13-Aug,Ohio,1,1,1,0," In Aug. 2013 an Elyria (Ohio) couple became involved in a dispute, and the woman stabbed the man. Anna Carter dialed 911 to report what happened, and was arrested for murder by arriving police.",
326,https://web.archive.org/web/20150417085336/http://mp3.911dispatch.com.s3.amazonaws.com/south-daytona_kidnapping_911.mp3,Kidnapping,,Florida,1,0,1,0," A woman in South Daytona (Fla.) was kidnapped by her estranged boyfriend, and the two were later chased along I-95 by police and sheriff’s deputies. At one point the suspect and victim dialed 911 for help. Read more about the incident",call_326.mp3
358,https://web.archive.org/web/20150417085338/http://mp3.911dispatch.com.s3.amazonaws.com/sheboygan_choking_911.mp3,Choking child  Wisc.,,Wisconsin,1,0,1,0,,call_358.mp3
361,https://web.archive.org/web/20150417085338/http://mp3.911dispatch.com.s3.amazonaws.com/livingstoncounty_fire_911.mp3,Grandmother rescue  Mi.,,Michigan,1,0,1,0,"13 year-old Dylan Dyer was home from school sick, and pulled his grandmother from the house when her oxygen tank malfunctioned and became involved in a fire. Dyer dialed 911 for help and reached Livingston County (Mich.) dispatcher Mara Spicer, but then left the phone to pull his 57 year-old grandmother outside.",call_361.mp3
362,https://web.archive.org/web/20150417085338/http://mp3.911dispatch.com.s3.amazonaws.com/capac_shooting.mp3,Chief’s shooting  Mich.,,Michigan,1,0,1,0," the chief of police of a small town was shot and seriously injured during a car stop, and neighbors reported the incident",call_362.mp3
363,https://web.archive.org/web/20150417085338/http://mp3.911dispatch.com.s3.amazonaws.com/florida_testimony_goff.mp3,Goff testimony  Fla.,,Florida,0,1,1,0," testimony of Rick Goff, father of kidnap-murder victim Denise Lee, at the state legislature in support of a voluntary, unfunded dispatcher certification law",call_363.mp3
365,https://web.archive.org/web/20150417085338/http://mp3.911dispatch.com.s3.amazonaws.com/kentucky_murder_911.mp3,Murder 911- Ken.,,Kentucky,1,1,1,0," caller reports that neighbor needs help finding her missing husband, who was later found in the brush murdered",call_365.mp3
368,https://web.archive.org/web/20150417085338/http://www.scancolorado.com/modules.php?name=FeedArchive,tape archive,,,,,,,Check this,
369,https://web.archive.org/web/20150417085338/http://mp3.911dispatch.com.s3.amazonaws.com/denton_mandown_911.mp3,“Man down” call mishandled,,Texas,1,1,1,0, Three Denton (Tex.) dispatchers were discipllined for their miss-handling of a 911 call reporting a man down. (,call_369.mp3
371,https://web.archive.org/web/20150417085338/http://www.911dispatch.com/reference/nc_missingchild_911.mp3,Missing child hoax,,North Carolina,1,0,0,1," A woman dials 911 to report a 3 year-old child missing in North Carolina, but officials later determined the child was never missing, not at the flea market, and was out of the country (",call_371.mp3
372,https://web.archive.org/web/20150417085338/http://mp3.911dispatch.com.s3.amazonaws.com/sarasotacounty_baby_911.mp3,Baby delivery,,Florida,1,0,1,0, Sarasota County (Fla.) 911 dispatcher Janet Jones helped deliver a baby by talking the father-to-be through the procedures. (,call_372.mp3
373,https://web.archive.org/web/20150417085338/http://www.911dispatch.com/reference/stlouiscounty_flooded_911.mp3,Flood victim,,Missouri,1,0,1,0, At 5 a.m. a St. Louis County (Mo.) woman drove into a flooded roadway and had to crawl out onto the roof and call for help. Also listen to,call_373.mp3
382,https://web.archive.org/web/20150417085338/http://www.911dispatch.com/reference/macclesfield_murder_911.mp3,Child murder,8-Jun,,1,1,1,0," In June, 2008 a woman dialed 911 and told an Edgecombe County sheriff’s dispatcher that a 13 year-old child was unconcious. Police later arrested the parents for murder, saying the child had been tied to a tree as punishment for misbehavior.",call_382.mp3
386,https://web.archive.org/web/20150417085338/http://www.simcoa.org/flagstaff/helo_crash_Police.WAV,Helicopter crash,8-Jun,Arizona,0,6,1,0," In June, 2008 two medical helicopters collided approaching Flagstaff (Ariz.) Medical center. Six persons were killed and one injured. This tape by a scannerist documents the FPD initial response.",
396,https://web.archive.org/web/20150417085338/http://media.ifoman.com.s3.amazonaws.com/millionaire.mov,Who Wants to Be…?,,,,,,, The quiz show “Who Wants to be a Millionaire?” asked a 911-related question on its show. Watch the video clip (Quicktime required).,
398,https://web.archive.org/web/20150417085338/http://mp3.911dispatch.com.s3.amazonaws.com/lockedincar_911.mp3,Locked inside car,,Washington,1,0,0,1, King County (Wash.) dispatcher Manny Apostol recalls the woman who dialed 911 to say she was locked,call_398.mp3
410,https://web.archive.org/web/20150417085338/hhttp://mp3.911dispatch.com.s3.amazonaws.com/houghtoncounty_shooting.mp3,Officer shooting,8-Oct,Michigan,1,1,1,0,"(911 call and radio, 30 min.)  In Oct. 2008 a Houghton County (Mich.) resident dialed 911 to report a dispute, with one person chasing a vehicle driving backwards up the street, possibly holding a golf club. When Dep. Mark Bukovich arrived on-scene, the man with the golf club attacked him and the deputy shot and killed him.",
419,https://web.archive.org/web/20150417085337/https://soundcloud.com/kiphillreporter/sets/zillmershootingrecordngs,Fatal pursuit,14-Feb,Washington,1,1,1,0," In Feb. 2014 a military veteran in Spokane (Wash.) engaged in a high-speed pursuit with police, and was talking to dispatchers during the chase. He told a calltaker that, “he wants to be shot in the head,” and other words indicating he wanted a confrontation. A radio dispatcher relayed that information to pursuing officers. However, when he finally pulled over, police say Jed Zillmer, 23, emerged from the car with three guns, and six Spokane County sheriff’s deputies opened fire, killing him. Check the individual recordings on",
